KEY,reviewid,title,content
458,R1T6SIMHHM0MYI,"Extreme Disappointment","I'll be honest - I did not purchase the software this year. I've been a TT user since 1998, and was ready to purchase the 2014 version. However, when I saw that the ""Deluxe"" version does not support many Schedule C issues or any Schedule D, both of which I need, I was immensely disappointed. I don't understand how they can continue to call it ""Deluxe."" Admittedly the software in past years was easy to use (although very bloated for some reason - a resource hog), but this price gouge is so disappointing that I can't help but give a 1 star review to throw my voice into the sea of unhappiness out there. Hopefully TT will change this policy of stripping features next year, but it will be too late for me. I'm switching to H&R Block software and will likely stay there."
459,R38SMR3JOD4J3X,"Done with Deluxe","The 2013 version had 1,265 reviews, averaging 4 of 5 stars with 14% giving it one star. The 2014 version so far has 240 reviews, averaging 2 of 5 stars, with 70% giving it one star. That's a huge problem for Intuit since many reviewers would have given it zero stars if they could. Intuit's desire for ""consistent product functionality across [platforms]"" sounds a lot like Microsoft's Windows 8, which was supposed to give an identical experience across platforms (desktop, laptop, tablet and phone). That worked so well that after a minor update in Windows 8.1, the upcoming version of Windows will be version 10, as Microsoft tries to get consumers to forget about Windows 8. Intuit needs to rename and rebrand ""deluxe."" I've used Turbo Tax Deluxe for so long I can't remember when I used anything else, but I'm done with ""deluxe."" Maybe I'll return, maybe not. That depends on how Intuit--and their competitors--respond to this software fiasco."
460,R1SS4VPXUJ8WN8,Bye,"Intuit forced me, a loyal 10-year Turbotax user, to switch to TaxAct. Fortunately, I found that the transition was pretty seamless and the product is much cheaper. As long as TaxAct doesn't pull an Intuit, I can't imagine I will ever use Turbotax again."
461,R2AV874VGFMEGT,"Really stupid move by Intuit !!!","I was a loyal Turbo Tax user for more than 10 years. But now with TurboTax's recent change that forces me to pay 50% more just to handle the sale of stocks and capital gains calculations, I'll be switching to a competitor's software. Really stupid move by Intuit !!!"
462,R30GG2LGOJ7G1G,"really bad idea (perhaps you've gotten that impression by the other ...","I would give this product ZERO stars, if possible - and that's coming from a very long-time and dedicated user of TurboTax (AND an active CPA). You know, I realize that you guys need to protect your bottom line - but carving out the basic schedules for C, D and E and up charging people to use them was a really, really, really bad idea (perhaps you've gotten that impression by the other reviews as well?). This comes on the heels of Intuit notifying me that their Quicken 2012 product (which I bought ONLY TWO YEARS AGO) is losing much of it's important functionality - and yes, of course, I will have to REPURCHASE this software to keep my 2-yr old program working correctly. I'm well aware of the need of companies like yours, Intuit, to create on-going revenue streams - but usually when they're this aggressive, there aren't many alternatives. Well guess what - that's just not the case with your products. Just FYI - if you've already purchased TurboTax (and are now kicking yourself for being a loyal customer, and being flogged at the register this year), HR Block will now give you a FREE download of their software, without all of these games. Provide your receipt at the HR Block website - you'll be good to go. That's where I'm heading. See ya, TurboTax - you were really great to work with. Too bad it didn't last."
463,R12DOH2ILGDGMX,"If it is not about the money then lower the price of the Deluxe version","To suggest this change (removing functionality) is about solving a problem for 10 million customers is disingenuous. It is about the money. Bob, if it is not about the money then lower the price of the Deluxe version (since you removed a great deal of functionality) and lower the price of the Premier to what the Deluxe used to be. Then your claim that you have not raised the price would ring true. To say you have not raised the price is like the coffee makers keeping the same price and lowering the amount from 16 oz to 11 oz per can. Same can size, same price, less product. This is what you have done. This IS a price increase."
464,R2T2EKB5PALFT8,"Serious Downgrade From Last Year-can't do schedules C, D or E with Deluxe-DON'T BUY or UPGRADE at double price","After nearly 15 years of using Turbo Tax Deluxe, I am now forced by the money grubbers at Intuit to either pay double for Home and Business version in order to use the features that were standard in Deluxe, OR download a free version of H and R Block by emailing : SwitchToBlock@hrblock.com. I've never used H and R Block before, but I don't think I want Intuit to get another dime from me until they mend their ways. They tried a stupid stunt like this before by trying to charge extra for extra returns filed on the same computer. They caved on that one and kept me as a customer for a few years. Funny, they didn't learn their lesson that time. Seasoned Taxpayer"
465,R11A8DJXE86KL1,"Unfathomable Greed","I'm self-employed and have investment income, but my income is still below the poverty line. Why do I have to pay so much extra just to use a couple more forms? Intuit must think all self-employed people and investors are rich and willing to pay through their noses for software that isn't crippled beyond use. I guess I shouldn't be surprised to see this from a company known for lobbying for complex tax rules to keep its products in demand. It's disgusting. I just read that H&R Block is offering its software for free to unhappy TurboTax users. Google SwitchToBlock@hrblock.com for details. Thanks, H&R Block!"
466,R36JYVHJFCSRW8,"After using TurboTax Deluxe for over 12 years, I ...","After using TurboTax Deluxe for over 12 years, I bought it again thinking that it would have the same functionality as before. What a surprise to find out that it didn't support of the schedules that I needed to do my taxes. Whomever is doing the strategic planning for their product needs to be put in a different position in their company. I will be looking at other options for doing my taxes in the future. Wake up TurboTax!!! After contacting TurboTax Customer Service and complaining, they offered me a free upgrade to the Premier version without me even having to ask for it. I noticed on their website that they have lowered their prices for their software."
467,R19WIESLAJYO7F,"Bought Deluxe yesterday at another retailer where I will be ...","Bought Deluxe yesterday at another retailer where I will be returning it. Recall that this is the same company that a few years ago installed a root kit (a type of malware) on your PC to protect and limit their software. The outrage at that time forced them to backtrack but, as is often the case with root kits, removing it completely was much more difficult than installing it.I had hoped Intuit had learned from that fiasco. Guess not. I gave them one do-over. No more. Time to move on to a competitor."
468,R3GAXV7UUZ6D4G,"Good bye Intuit ...","Two decades of happy of being a satisfied customer ends with Sasan Goodarzi's comment ""We messed up."" Calling customer service was disappointed and ineffective. No need to go into all the details and issues but as a LOYAL customer for two decades it troubles me that to do the same thing I was always able to do now would cost effectively twice what it did before ... is unacceptable. I bought your software for all these years because it was easy to use, effective and I could depend on it. Now I can't ... I will now give H&R Block a chance to win my business loyalty for the next decade. Whoever decided this ""new"" business model was a good idea .... I hope it works out for you ... you've just lost my parents, my four siblings, my son and daughter as well as me. Really a shame ..."
469,R1QJEKOJHOPQ8E,"WARNING- WARNING!","This is NOT last years version of turbotax you bought. This is a brand new version of Turbotax! Yeah- great! Wait. Not so great. In fact, it sucks. No schedule D or E. Why didn't they include those simple/easy forms you ask? Because that was a filthy, underhanded, unscrupulous way of extracting money from your wallet. You must purchase the 'upgrade' for $30.00 additional dollars. Guess what? You can't get your money back from Amazon after downloading this, so now what? Your screwed. If your reading this before purchasing: smart move! Check out HR Block, Taxact, and numerous other software companies out there with integrity and ethics.leave Turbotax alone, where they belong."
470,R30J3SSFSDHU0Q,"TurboTax loses a long-term customer","I have used Turbo Tax for the past two decades. Corporate greed now requires that I go elsewhere for software. Why should I pay $30 more for Premier when Deluxe always contained the one page Schedule E I needed to do my return. I'd rather use paper forms than pay another $30 for one page. Thanks Turbo Tax. I also do not appreciate the email you sent me that required a full page of reading, that said nothing other than to spin an asinine decision on your part, and failed to truly take account of your customer's needs. Good bye."
471,R2PDO6KMKR2FHF,"I can't believe that I get halfway into doing my ...","I can't believe that I get halfway into doing my 2014 taxes, and find that Intuit has stripped the features from the Deluxe edition that allow me to file tax forms related to my stock investments! Now I have to pay a big upgrade fee just to finish my taxes. What a sleazy--and sneaky--thing to do, Intuit! I've been a loyal customer of TurboTax since the late 1990s--but no more. It's too late to change my 2014 TurboTax work, but next year, I'm moving on to a more reputable tax software provider. Goodby TurboTax!"
472,RAT6A10CP8AOG,"Turbotax banned in Minnesota","This just in - 8:15 PM - Minnesota Dept of Revenue has stopped accepting TurboTax returns, due to the high possibility of fraud. Not much info on this yet, but be advised."
473,RGVFNVG41OS07,"Deja vu of 2013 Web version","I've been using TurboTax desktop for my sole proprietor business since the days it was owned by ChipSoft. Last year, my hard drive crashed shortly before the IRS deadline and I had to resort to the Web based version. That was a disaster. I started off using the deluxe version, as I had always done before. Only when I got to the business section did they tell me I had to upgrade. I tried some work-arounds, like filling out schedule C manually, but it didn't work. And then, when I did upgrade, all the data I had already entered disappeared. At this point, I called TurboTax and got a very nice rep who apologized very sincerely for the problem. She filed a request to the technical team to restore my data, and then, as compensation for my troubles, came me a code that she said I could use when I actually filed that would allow me to pay only the cost of the Deluxe version, regardless of whether or not I used the features of the upgrade. Sounded good to me. But that's not the way it worked out. Although a little bit of what I had previously entered (basically the personal information that doesn't routinely change from year to year) was restored, none of the 2013-specific data I entered was restored and I had to enter it all again. To top that, when I it was time to pay, there was no opportunity to use the discount code the rep gave me. I was very attentive going through the screens, and if there was any way to use it, it was very well hidden. But the lesson I thought I had learned from last year was not to use the Web version. This year, I naively assumed that the desktop version was going to be fine and I went ahead and bought the Deluxe desktop, only to find that Intuit was going through the same bait and switch routine with it this year. I give up on Intuit. They clearly have lost their way."
474,R25PMA6UE0GMAE,"I guess its time to kick bad habits.","I've been a loyal Turbotax customer for 11 years, but no more. They've removed the interview questions for schedule C, D & E, to make an extra 30 dollars. I should have known since Intuit was spent 11.5 million lobbying against easier and simpler tax returns. There's plenty of tax software out there that's more than capable of doing the job. HR Block is one that comes to mind for a fraction of the price. I only stayed with Turbotax out of habit. I guess its time to kick bad habits."
475,R13KLU36T7LBQ0,"So long Intuit.","I have been a loyal Turbotax customer for over a decade, but after seeing what Intuit thinks of its customers (masses to be exploited) and how it treats its customers (sneaky and deceitful), I decided I no longer wanted to be an Intuit customer. I have purchased H&R Block Tax software. I was able to import last year's Turbotax data into H&R Block Tax ,so it turns out that switching software was faster and less work than I was expecting. Not to mention less cost. So long Intuit!"
476,R3V9UG7VV9PNQ0,"I would give it less than one star if possible ...","I would give it less than one star if possible. I have been using TurboTax Deluxe for a very long time. But now that Schdule D is no longer supported I will look elsewhere. TurboTax blew it big time."
477,R2ESPMMYB4CI7U,"So glad I read the reviews before automatically re-ordering","Have used turbotax deluxe for our taxes, including a rental property, for about 20 years. Now the schedules I need, that used to be in Deluxe, are gone. And from what I glean from the reviews, the Premier is also inadequate. Well, at least H&R Block's software is cheaper."
478,R2OM3QPU3WDQN6,"I have used turbo tax for many years and loved it. I was aware of the issues discussed ...","I have used turbo tax for many years and loved it. I was aware of the issues discussed here so I tried to use Turbo Tax on fidelitiy's web site and the turbo tax software handled my Roth IRA withdrawal incorrectly. I tried to contact their online support but no one contacted me. Since I can not access the forms I decided to give up on Turbo Tax and purchase H&R block. I want to thank the many amazon users who took time to post about these issues so at least I did not waste my money purchasing this software."
479,R3TY0TQ0RSQZW5,"TurboTax Deluxe has been great for many years","TurboTax Deluxe has been great for many years, I have used it for at least 15 years. But since the program can no longer do Schedule D, it can't be considered to be ""Deluxe"". Like many users I do not run a business but do invest. There could be some justification for abandoning business users. But it seems to me that leaving out investors (Schedule D) is a huge mistake which will drive away many long-time users and customers. So after many years I also have to abandon the program and use H&R Block! Rudi Freysinger"
480,R990ST4LJ0UZT,"After 15 years of using Turbotax, this release has caused me to switch to HR Block","With new releases, who takes away features rather than adding to remain competitive? Intuit Turbotax apparently. After 15 years of using TurboTax, I too will be switching to H&R Block. Turbotax has always found small ways to gouge you (extra charge for state e-file, hidden fees, etc...), but I always sucked it up and just kept using them out of convenience. After reading the reviews, it looks like Intuit has taking gouging to a new level, by actually taking out the Deluxe features but still calling it 'Deluxe'. So incredibly dishonest and unethical. Their strategy is to prey on the uneducated who will buy Deluxe thinking its the same as it has been in past years. Then when in the middle of their returns, when features they need aren't there, Intuit will require them to upgrade within the app (charging significantly more for the upgrade than if they would have bought the higher version originally). So sneaky, shady, and unethical. I will be switching over to HR Block Deluxe, and encouraging all my extended family and friends to do the same. HR Block Deluxe is getting almost 5 star ratings on Amazon, and even imports your 2013 return from Turbotax (making for an easy transition). I also now feel HR Block is a more transparent and reputable company. Turbotax is preying on the ignorant, removing features to nickel and dime people in to last minute add ons. With HR Block, at least what you see is what you get. Due to Turbotax getting greedy, and taking features away (instead of adding), I'm finally making the switch to HR Block. Now that I've switched, I'll never go back and can just utilize HR Block every year going forward. Thanks Turbotax for getting so bad that you forced me to open my mind and find something so much better."
481,R2SV3BYKDQJN8Y,"Intuit neuters ""Deluxe"" TurboTax edition!","Okay, in the middle of doing my return, and find that in order to deal with my minor investment capital gains and losses stuff that I've been doing for years with TurboTax Deluxe, and before using regular TurboTax, I would have to pay $30 for an upgrade. Well, I called Intuit and waited on hold for more than an hour (silly me), and was given a free upgrade to Premiere. Okay, that's a really round-about, not customer-oriented way to do this, and cost a LOT of customer goodwill, at least my goodwill for sure. The free upgrade should have been available online for free, or via the program if you try to use the investment capital gains section of the return. That would have saved me the frustration of having to spend over an hour of my life waiting on their pleasure. I only do taxes once a year, but it's trying enough without having the company that I pay for tax software working against me. And, this may go without saying, but if Intuit continues to exclude investment capital gains/losses from the Deluxe edition next year, I'll be taking my tax return business elsewhere. Won't be forgetting this one by next tax time, that's for sure."
482,RV6EBPV0JMFZX,"A Bicycle Without Wheels","I just got off the phone with Turbo Tax customer support. As a long time user, I couldn't believe they would take out Schedule D functionality from a product they have sold for DECADES. Their answer might as well have been ""I'm sorry.....You want wheels with that bicycle? You will need to pay us double for that upgrade to our product....."" I don't like change, but I'm switching to H&R Block. These guys are a piece of work, not deserving of one star."
483,R2W9VA6LN03P6R,"FREE Upgrade to TurboTax Premier>>> Call Intuit @1-800-445-1875","Purchased the Deluxe version which I have used for over a decade only to find out that access to Schedule D used for stocks requires upgrade to Premier."
484,R3MRQBO2VIKBFT,"Intuit sneaky price increase","Just returned my copy of TT Deluxe 2014. Been a user for over 15 years. Removing schedules C, D, and E without notification is underhanded. If Intuit had posted a price increase, I would have considered it as would most of their customers. But to strip out functionality and basically double the cost to retrieve those lost features is unforgivable. My advice to Intuit - Be upfront with your customers. Trust is essential to maintain a healthy and growing business."
485,R3723QCCYO2BKH,"Went from OK to BAD","Unhappy about the changes - read the other 1 star reviews and you'll know why. Also, after you pay for the software, they make you pay $19.99 to file your state return! It really is highway robbery. There should be at least one free state return file with your purchase. Don't think I'll be buying this software again next year."
486,R2E2U1JKE7OY0I,"WTF - TurboTax is now worthless - Look elsewhere!!!","I am shocked about how bad Turbo tax has become! After using it for many years I'm looking elsewhere. The price has gone up year after year and now the ""Deluxe"" version has removed forms essential to me that I can upgrade (pay even more) to get. In the meantime TurboTax is useless to me. Hopefully one of the automatic updates will fix this scam by including the missing forms."
487,R32D1VVYA57LXO,"Adios Turbo Tax...","Well, I'm heart sick. I'm not sure that a piece of software should merit this much attachment, but I find the whole tax process overwhelming, and foe years Turbo Tax was a benevolent interface between an incomprehensible tax code and my really limited ability to navigate it. So I've been a user since their early first days for the Mac. (Was it ""Macintax""?) But I'm headed over to try the H&R Block product. And as Intuit must intuit by now, if it works, I and many others will stay with them out of the same inertia that kept me with Intuit all these years...in spite of the feeling that over the past few years they had evolved from something protective to something far more exploitative and predatory. The poised and slick responses of Intuit's vice president here only serve to reinforce my queasy decision to leave Turbo Tax behind. ""Gee, give me a call and let me see if I can help you find the right product."" I need a schedule C. And until I use the product I don't know if my deductions will go over the arbitrary (and preposterously low) limit they've set. I suspect they will. So I guess I'll pick my productnwithout Bob's help... Someone at Intuit is responsible for driving the predatory stance of the company and this software suite forward. Writing this review is a pain, but I'm taking the time to do it in hopes that Turbo Tax loses many more customers than myself; that individuals responsible get fired, and that the company (maybe even others) concludes that untrammeled greed and disrespect for one's consumer base is bad business."
488,R2LBZBN1M2CFJM,"Verified NON-Purchase. Bye-Bye TurboTax!","I have been a satisfied TurboTax customer for more than 20 years. No more. Intuit picked the wrong way to generate dollars. Being unable to file basic taxes with the Deluxe version is idiotic and wrong; it is a monstrous violation of customers' expectations. It is deflating years of goodwill and brand equity.This will be a business school case study on the destruction of a brand. Congrats."
489,R2F0TCMROXNOK5,"Turbo Tax's Bad Pricing Strategy!","Went straight to H&R Block Basic after reading the reviews here.No problem importing last years TT files,5 free Fed filings,all for under $15. This will go down with ""New Coke"" as one of the worst business decisions I've ever seen.What did Intuit do,hire former Bear Stearns and Lehmen Bros. management for their new pricing strategy?.If I was Intuit,I would think about scrapping the name Turbo Tax or go to H&R Block and beg for a merger next year."
490,R1RXMFTWXPHEBA,"Filing taxes is painful enough....","Filing taxes is painful enough, yet TurboTax wants to make this process even more painful by removing features from a product that I have used for years. As a loyal and long time customer of TurboTax, I am extremely disappointed to learn that I will not be able to file my taxes unless I purchase their more expensive Premier software. Why would I pay more for TurboTax Premier when I can file for less with H&R Block. I won't pay more, and that's why I am saying ""bye, bye, bye"" to TurboTax. Thanks to everyone for the warning."
491,R2F8RLXPLLEOH2,"I went to Intuit by following their lame excuse page on my email about how sorry they ...","Halfway through doing my tax return this year I discovered I could not complete it unless I upgraded to Premier. The reason was I had dividends and gain/losses to report and Deluxe does not allow this functionality. It was totally confusing with half my data in and no way to go on. I went to Intuit by following their lame excuse page on my email about how sorry they were and they charged my credit card another $32 plus tax to download the software upgrade to allow me to continue. Once upgraded to Premier I was able to continue my return. I understand Intuit will refund me $25 but it seems there is a catch. Apparently they only give you the refund if you have file 'electronically' last year (2013). I used TurboTax Deluxe last year but I used a paper return because I needed to complete two more forms which were not part of TurboTax Deluxe. So now I have no idea what they are going to do. I may look at the H&R Block tax return software next year. I am not happy with Intuit."
492,R2FQ5TJ4DX4CWH,"No more Turbo-Tax","Well after reading all those reviews that pertain to me I will not be purchasing Turbo-tax this year. I have been using this product since before Intuit bought it. I Think I will try H&R Block software even if it has a price difference. It makes me sad though. It may be time for H&R block to purchase a company that has an accounting program and compete with Intuits Quicken as well."
493,R3EPGWL5TZEYD,"I have been a Turbo Tax user since 2000. ...","I have been a Turbo Tax user since 2000. I am very frustrated about the lose of critical features in TurboTax Deluxe. No Schedules C, D, or E. or e-filing if you use these. I think when you have a product you have used for many years, to have the company remove features you have used and still charge the same price, if ridiculous. I would encourage potential customers to choose a product from another company. I know next year I will be looking somewhere else."
494,R869WJDIX60WW,"Shame on you TurboTax","I have been using Turbotax for many, many years. I bought my Deluxe copy, as usual, but without perusing the fine print or features table. I didn't think I needed too. I have always used this version to prepare all of my taxes. This year, to my surprise, they degraded the features on the Deluxe version significantly. I paid $59.95 (before they dropped the price) and now I find that I will need to spend another $30 to get the features I thought I was getting in the first place. I refuse to petition Bob from TurboTax for a free upgrade as others here have done. I shouldn't need to do this. That is beneath my dignity. I am tempted to abandon TT entirely and go with something else. I've used this version for several weeks already, but only found about the loss of features by reading the comments here. That is how sneakily it was done. OK, Turbotax, very clever. You fooled me this time. But let's see how many customers you will lose because of this tawdry stunt."
495,R3LE6RT03E3OKB,"Would give minus 1 star if I could","Add me to the growing number of previous TurboTax users appalled by the omission of Schedule D from the Deluxe package. Selling a stock or mutual fund is not an unusual event. To force people into Premier version to complete these forms is ridiculous. Most people probably won't find out about this change until they start their taxes in mid February. I expect the howls of protest for this forced upgrade will make the Super Bowl crowd seem quiet. I am using H&R Block Deluxe software this year. Goodbye TurboTax. Vote with your feet and leave these greedy Intuit people wondering why everyone is avoiding their product"
496,R1A0ZA2HYA38HT,"Try a TurboTax alternative","I cannot express how angry I am. I like many other users, have used TurboTax for many years. This year, in November I purchased the 2014 deluxe version. No one likes being screwed and that is what intuit has done by eliminating essential forms of a common tax return without warning. They could have at least informed the public prior to the product's release.. But oh no, that may have hurt their sales. Well I cannot say strongly enough that this is absolutely the last product I will ever buy from them. I certainly will not ""upgrade"" to to the ""premier"" version. Instead I invested in H&R Block's tax preparation software, and aside from a few glitches, it so far seems to be doing the job. When my last financial institution releases my data and I can download it, i will have finished my taxes for 2014. Goodbye Intuit!"
497,R2GCUYDNZZZ2O0,"Good bye Turbo Tax","TurboTax - I'm changing to H&R Block. The last time I changed was when you tried to impose a $9 fee for printing extra returns. Now you are at it again by eliminating a key component to the program. After many years as a customer, albeit one year I left because of the printing issue, I am now changing over to H&R. I will request a refund for the product - Good bye!"
498,RRVWZEFVD093W,"Time to change tax software.","I have been using turbo tax for many years to prepare my taxes. They know that it is easier to keep using the software year after year so you can easily transfer your data from the previous year. This is how they screw loyal customers by taking away something we alway had in the package to squeeze more money from us. You have just lost a loyal customer. Time to use a company that appreciates their customers."
499,RFB79QCQOG3VV,"Which product to purchase or switch to H&R Block?","Well it turns out I need to upgrade to Premier for $30 since I sold my home. That wasn't clear on the product details as the Deluxe notes ""Homeowners"" which to me would include appropriate forms needed incase you sell your home. So now with the upgrade its costing me more than just purchasing the premier product outright which I would have done if I had known. Looking into H&R block for next year."
500,R28E0DDRGZK1NY,"Intuit sinks to new low!","I completely agree with all other reviews. I wish I had read the reviews before ordering this year. But for 10+ years Turbo Tax has always included the required forms needed for filing... Like Schedule C.... until this year. LAST YEAR I WILL PURCHASE an Intuit product!"
501,R17IKRRQEKSINT,"I'm annoyed enough to considering switching over to H&R blocks software","Been using Turbo Tax around 25 years and schedule D has always been included in the Deluxe version. What's up with discontinuing this and letting customers know in a little footnote. This is a major strip down. I only found this out when using TT today and they send you to an upgrade option and want another $30. I'm annoyed enough to considering switching over to H&R blocks software. TT should admit there mistake and imediately allow for the upgrade free."
502,R1KFHOW4ILG8U2,"loyal customers shafted for profit - I will be seeking other means to complete my taxes in the future","i have been using turbo tax since my first job at 16. I've always qualified for 1040z basic or freedom edition because i have been a full time student employed part time. Well, imagine my surprise when this year attempting to complete my taxes after my w-2 arrived, I was asked to upgrade to deluxe and then home because I added one deduction beyond being single, I added education credits. Well, I ended up paying over a hundred dollars to complete my taxes this year. One part time w-2 and education deduction and I was made to upgrade to deluxe and pay this crazy amount. I might as well have gone to get my taxes done elsewhere. Imagine my surprise that your offer of 25 dollars back is reserved solely for previous year deluxe users. well, we are all upset at the changes that have been made. I was sent an email that said i would be able to file my federal and state at no charge... halfway through i got the upgrade prompt. i went through and re did my taxes three times before i realized that it was not an incorrect action on my part, but a change in your program. Customers should be made aware of these changes to give them a better choice at opting for better options. These changes do not only affect the top tiered users, but also those with smaller incomes, made to think that they have to follow your prompts in order to pay more."
503,R3N5MKZHN97TN8,"Terrible Treatment of a Long-Time Customer","So, I just paid $30 for an upgrade to Premier that I find out half-way through the process that I need to finalize my taxes. And I applied for a $25 refund that's supposed to make me feel better. But, I find out by reading the Amazon reviews that if I had waited until February 7 to do my taxes, no upgrade would have been required. Somehow, I seem to have lost $5 (plus taxes) because I did my taxes early. Intuit, you really screwed this up!!"
504,R39DEXIWKPRJJK,"After so many years with TurboTax I really hate to switch","Well, as many already said, this product doesn't do nearly what it did last year. There is nothing 'deluxe' about it now except for the price. I bought mine at a local store, and will need to drive back to make a return. After so many years with TurboTax I really hate to switch, but it sounds like HR Block will import last years TT return just fine, so I'll probably give it a try."
505,R3SWKH0KN9AYT7,"This year is even worse. Good job","Can't believe TurboTax thought it could slide these changes through without some kind of backlash. Deluxe always had all the forms I need until last year when I had some quirky investment issue and was forced to ""upgrade"" to Premier to finish my taxes. This year is even worse. Good job, TT--you've lost a twenty year customer."
506,RX2NEP80SR44M,"Big Mistake, Huge. Waiting for TT Deluxe ""Classic""","At least 7 years running have been using TT Deluxe, but not for 2014. Schedule D is critical to us. Wasn't happy that Intuit likes to charge MORE to their loyal customers who accept their mailer version - always get it on my own from Amazon and I appreciate everybody's reviews here to guide me on this decision."
507,R2EXP05YC8WH3G,"After many years of using Turbo-Tax for what I consider ...","After many years of using Turbo-Tax for what I consider a relatively simple return, they are now forcing us to buy something extra. I already purchased the deluxe edition at Costco and downloaded it so I would be ready to start my taxes at the end of January. Didn't even read (ignorant of me) the package, just picked it up and bought it, as I have done many years before. I'll be looking for a new software package next year, and it won't be TURBO-TAX."
508,R3LSFB9AMUIHCU,"Bad change. I'm not happy.","I'm very unhappy with the change in features of the versions. I've used TT since before the year 2000 and always been happy. While I've appreciated the personal replies by Intuit's representative and the offer of a free upgrade for returning customers, the product itself deserves a 1 star rating."
509,R2FMGZGH7443KF,BEWARE!,"BEWARE if you filed your 2013 tax return with Turbo Tax 13 Deluxe and later downloaded their upgrade. Six months after e-filing I needed information from my 2013 return and TurboTax automatically asked if I wanted to update the program. I allowed it to update and it changed my return completely. Instead of a refund it now states I owe the IRS over $2500. Finally found the error in the supporting section of schedule C. I suspect Intuit changed their program to the new format so Deluxe no longer supports Schedule C and Investment information. I downloaded Turbo Tax 2014 Deluxe and sure enough Intuit did a real job on all of us who have used their Deluxe programs for years. I have since manually entered my supporting info on my 2013 return from my hard copy so it will not make an error when or if I download the info to another tax program. I am not proceeding with Intuits TurboTax Deluxe this year. After this mess I am not confident in their future products and will search for something better."
510,R3QAZMD9KTRPO6,"Waste of my time!!!","Wish I could give it zero stars... why didn't the product description show that this year there is a brand new ""feature"" in that the schedules are not included in this product? Basically, you can't do your taxes if you need schedules C, D, E... what a waste! Time to find another product that won't try to screw me..."
511,R14KYDZMTNCQM1,"Seems like a scam to me","So frustrating. I'm using the online turbotax software. I completely finished everything, and am ready to file. Suddenly, it's shown that there will be an extra $35/state filing. I tried to cancel the state filing, but it says I can't because I've already made payments (which I have NOT). Now, I'm trying to reach customer service, and I've been on hold for over 6 hours. Seems like a scam to me."
512,RT9JI0LKI2ZST,"Intuit, you blew it really bad. Even your mea culpa is pathetic","I have been using TT since the 1980's. For the last several years I've been using the Basic version and e-filing, using Sch. D and the 1040. But when I went to the local store to buy this year, it was apparent I couldn't use Basic anymore, so I bought Deluxe. But before opening it, I suspected a problem with filing Sch. D and googled. And I find this firestorm of complaints over TT doing a bait and switch. Seems I can't use Deluxe either. I've already paid $10 more, now they want another $30. So I waited, knowing Intuit would have to fix their screw up. And now that I've seen it, all I can say is ""You've got to be kidding me"". They expect me to load this crap, pay their bait-and-switch extortion, file, then apply for a refund? Bull. If they were thinking at all, they would have simply provided the forms to Deluxe users through update. Instead, they make people jump through more hoops. Unbelievable. My purchase remains unopened, and back to the store it will go, where I'll buy H&R's Deluxe, which only costs $25. Goodbye to TT after nearly 30 years of use. Such a shame!"
513,R2IK92NFMY5AVP,"We had always used Turbotax Deluxe but not anymore .","I purchased this through newegg and it is a complete joke on explaniing lump sum distribution for social security lump sum distributions from previous year and 3rd party insurance disabilty. ,.It was very frustrating and feel like we wasted 75.00 as we will just take it all to a tax service now."
514,R3KQS2G3M35XZR,"Not Turbo this year","Had been a Turbo Tax user and was ready to buy. Good thing I waited and found out about the Turbo Tax deception since I would have bought the Deluxe and been cheated. Went to HR Block alternative and will see how well it goes - disc should be arriving tomorrow. Message to Turbo Tax - we appreciate value, consistency and trust. You've lost mine with this version switch scheme."
515,RT73YW6TGIPUP,"Disappointed with Turbo Tax/Intuit","I have had problems for the last 2 years with TT State, and didn't find out until 1/2 way through 2014. I heard about the business info being removed. I already switched to H&R Block last week. They have the state worksheets available that I couldn't get from TT. I had to contact my state and get an instruction booklet for the forms, file amended returns and mail the forms in. I have had problems with Cust Serv in the past. I'm still appealing the returns with my state for 12 & 13. I won't go back. I must admit that I had a PC that deleted Intuit's Quicken while it was in the process of dying. I had a MAC I needed to switch to. The Cust Serv staff at that time (3-4 years ago) gave me the MAC version of Quicken, that isn't user friendly like the PC version, but it does what I need it to."
516,R374VM0FZAXN59,"DO NOT BUY - Worthless and neutered compared to last year's version","Worthless and neutered compared to last year's version. Have fun paying an extra 40 bucks for the stuff they removed from the previous version, all in a lame attempt to suck a little more money out of your wallet. Shame on you, TurboTax, you lost me as a customer forever. DO NOT BUY THIS."
517,RCCY31O8KEFB1,"Intuit: If you had been a little less greedy, you could probably have had my business until I stopped paying taxes.","TurboTax was the first electronic tax preparation software I ever used; it was an elegant solution to a real headache, and I wholeheartedly recommended it to friends and colleagues. If you've read the other reviews on this site, you already know why I am taking the trouble to write this negative review: what used to cost me $30 would cost me $90 this year (as I have investment income, and I used to be able to make do with the ""Basic"" downloadable version). I am not romantic about corporations: Intuit doesn't owe me anything---they're in the game to make money. Even so, there seems to me to be something exploitive about a 200% price increase for a major part of Intuit's TT demographic. As Intuit is aware, people become accustomed to software and there is hassle involved in porting everything to a competitor's system; I suppose that's what they are banking on. Intuit: I resent the time I am now going to have to waste to figure out competitor's software. If you had been a little less greedy, you could probably have had my business until I stopped paying taxes."
